,Date,Name,Symbol,Marketcap_in_dollar,Price_in_dollar,Circulating_supply_in_BTC,1hour_chg_per,24hour_chg_per,7day_chg_per
0,2013-05-05,Bitcoin,BTC,"$1,288,693,216.22",$115.91,"11,118,050 BTC",0.43%,0.43%,-13.81%
1,2013-05-12,Bitcoin,BTC,"$1,281,982,625.00",$115.00,"11,147,675 BTC",-0.03%,-0.03%,-1.88%
2,2013-05-19,Bitcoin,BTC,"$1,363,205,019.90",$121.99,"11,174,725 BTC",-0.35%,-0.35%,5.70%
3,2013-05-26,Bitcoin,BTC,"$1,495,292,967.14",$133.48,"11,202,375 BTC",-1.16%,-1.16%,9.61%
4,2013-06-02,Bitcoin,BTC,"$1,373,839,383.45",$122.29,"11,234,075 BTC",1.00%,1.00%,-9.13%
5,2013-06-09,Bitcoin,BTC,"$1,126,642,500.00",$100.00,"11,266,425 BTC",-2.04%,-2.04%,-16.89%
6,2013-06-16,Bitcoin,BTC,"$1,124,306,468.29",$99.51,"11,298,425 BTC",-0.01%,-0.01%,-1.32%
7,2013-06-23,Bitcoin,BTC,"$1,218,626,731.94",$107.60,"11,325,525 BTC",-0.27%,-0.27%,7.69%
8,2013-06-30,Bitcoin,BTC,"$1,096,957,926.58",$96.61,"11,354,025 BTC",-0.53%,-0.53%,-9.91%
9,2013-07-07,Bitcoin,BTC,"$848,838,935.56",$74.56,"11,384,475 BTC",1.27%,1.27%,-23.21%
10,2013-07-14,Bitcoin,BTC,"$1,080,918,189.52",$94.69,"11,415,175 BTC",1.13%,1.13%,26.85%
11,2013-07-21,Bitcoin,BTC,"$1,038,799,169.95",$90.76,"11,445,900 BTC",0.48%,0.48%,-3.89%
12,2013-07-28,Bitcoin,BTC,"$1,144,602,625.00",$99.76,"11,474,025 BTC",-0.07%,-0.07%,10.61%
13,2013-08-04,Bitcoin,BTC,"$1,209,792,869.08",$105.14,"11,506,100 BTC",-0.05%,-0.05%,6.11%
14,2013-08-11,Bitcoin,BTC,"$1,211,789,250.00",$105.00,"11,540,850 BTC",0.11%,0.11%,-0.51%
15,2013-08-18,Bitcoin,BTC,"$1,313,544,012.50",$113.50,"11,573,075 BTC",-0.16%,-0.16%,8.50%
16,2013-08-25,Bitcoin,BTC,"$1,417,199,162.92",$122.11,"11,605,825 BTC",-0.13%,-0.13%,6.85%
17,2013-09-01,Bitcoin,BTC,"$1,610,215,304.37",$138.34,"11,639,550 BTC",0.09%,0.09%,13.16%
18,2013-09-08,Bitcoin,BTC,"$1,419,836,114.24",$121.66,"11,670,525 BTC",0.61%,0.61%,-11.89%
19,2013-09-15,Bitcoin,BTC,"$1,526,085,088.84",$130.37,"11,705,800 BTC",0.13%,0.13%,7.45%
20,2013-09-22,Bitcoin,BTC,"$1,515,584,678.69",$129.12,"11,737,800 BTC",0.29%,0.29%,-1.03%
21,2013-09-29,Bitcoin,BTC,"$1,616,584,461.39",$137.34,"11,770,675 BTC",-0.35%,-0.35%,6.69%
22,2013-10-06,Bitcoin,BTC,"$1,522,686,975.00",$129.00,"11,803,775 BTC",0.16%,0.16%,-5.84%
23,2013-10-13,Bitcoin,BTC,"$1,634,968,896.30",$138.13,"11,836,450 BTC",-0.30%,-0.30%,7.12%
24,2013-10-20,Bitcoin,BTC,"$2,073,319,147.25",$174.61,"11,874,000 BTC",0.39%,0.39%,25.56%
25,2013-10-27,Bitcoin,BTC,"$2,339,831,246.08",$196.44,"11,911,175 BTC",1.65%,1.65%,12.45%
26,2013-11-03,Bitcoin,BTC,"$2,568,713,147.70",$215.05,"11,944,725 BTC",0.77%,0.77%,11.20%
27,2013-11-10,Bitcoin,BTC,"$3,910,613,036.04",$326.62,"11,972,975 BTC",0.78%,0.78%,52.60%
28,2013-11-17,Bitcoin,BTC,"$5,907,841,887.89",$492.11,"12,005,125 BTC",-1.31%,-1.31%,55.65%
29,2013-11-24,Bitcoin,BTC,"$9,317,034,156.25",$774.25,"12,033,625 BTC",-0.89%,-0.89%,57.66%
30,2013-12-01,Bitcoin,BTC,"$11,531,708,652.96",$955.85,"12,064,350 BTC",0.94%,0.94%,22.10%
31,2013-12-08,Bitcoin,BTC,"$9,627,500,053.68",$795.87,"12,096,825 BTC",0.71%,0.71%,-17.53%
32,2013-12-15,Bitcoin,BTC,"$10,625,517,591.78",$876.12,"12,127,925 BTC",0.08%,0.08%,11.75%
33,2013-12-22,Bitcoin,BTC,"$7,505,757,333.43",$617.18,"12,161,375 BTC",-0.68%,-0.68%,-29.26%
34,2013-12-29,Bitcoin,BTC,"$9,082,103,472.45",$745.05,"12,189,925 BTC",-0.10%,-0.10%,17.84%
35,2014-01-05,Bitcoin,BTC,"$11,379,661,042.38",$933.53,"12,189,925 BTC",0.25%,0.25%,25.84%
36,2014-01-12,Bitcoin,BTC,"$10,578,652,838.47",$863.22,"12,254,875 BTC",-0.62%,-0.62%,-8.53%
37,2014-01-19,Bitcoin,BTC,"$10,699,504,355.93",$870.96,"12,284,725 BTC",2.11%,2.11%,1.02%
38,2014-01-26,Bitcoin,BTC,"$10,902,798,992.81",$885.28,"12,315,650 BTC",0.41%,0.41%,2.79%
39,2014-02-02,Bitcoin,BTC,"$10,190,038,593.97",$825.37,"12,346,025 BTC",-0.03%,-0.03%,-6.75%
40,2014-02-09,Bitcoin,BTC,"$8,451,229,252.14",$682.90,"12,375,500 BTC",-0.06%,-0.06%,-17.30%
41,2014-02-16,Bitcoin,BTC,"$7,650,358,897.33",$616.63,"12,406,725 BTC",2.62%,2.62%,-10.93%
42,2014-02-23,Bitcoin,BTC,"$7,534,325,957.59",$605.82,"12,436,575 BTC",-0.72%,-0.72%,-0.56%
43,2014-03-02,Bitcoin,BTC,"$6,978,523,797.83",$559.79,"12,466,325 BTC",0.83%,0.83%,-6.82%
44,2014-03-09,Bitcoin,BTC,"$7,958,688,082.54",$636.96,"12,494,800 BTC",-0.24%,-0.24%,13.24%
45,2014-03-16,Bitcoin,BTC,"$7,903,421,902.06",$631.11,"12,523,050 BTC",0.11%,0.11%,-1.24%
46,2014-03-23,Bitcoin,BTC,"$7,045,873,880.14",$561.27,"12,553,400 BTC",-0.63%,-0.63%,-11.04%
47,2014-03-30,Bitcoin,BTC,"$5,791,425,431.84",$460.27,"12,582,575 BTC",-0.16%,-0.16%,-18.02%
48,2014-04-06,Bitcoin,BTC,"$5,808,862,088.79",$460.50,"12,614,275 BTC",0.18%,0.18%,-0.52%
49,2014-04-13,Bitcoin,BTC,"$5,234,669,425.31",$414.06,"12,642,200 BTC",0.73%,0.73%,-9.66%
50,2014-04-20,Bitcoin,BTC,"$6,312,898,134.70",$498.17,"12,672,225 BTC",-0.08%,-0.08%,20.91%
51,2014-04-27,Bitcoin,BTC,"$5,542,719,717.83",$436.39,"12,701,300 BTC",-0.58%,-0.58%,-12.94%
52,2014-05-04,Bitcoin,BTC,"$5,554,781,871.21",$436.40,"12,728,550 BTC",0.14%,0.14%,0.19%
53,2014-05-11,Bitcoin,BTC,"$5,598,957,083.42",$438.89,"12,757,200 BTC",0.13%,0.13%,0.81%
54,2014-05-18,Bitcoin,BTC,"$5,706,167,060.01",$446.26,"12,786,525 BTC",0.19%,0.19%,2.03%
55,2014-05-25,Bitcoin,BTC,"$7,325,371,160.59",$571.59,"12,815,825 BTC",0.36%,0.36%,28.28%
56,2014-06-01,Bitcoin,BTC,"$8,094,127,199.29",$630.23,"12,843,150 BTC",-1.85%,-1.85%,9.92%
57,2014-06-08,Bitcoin,BTC,"$8,445,491,366.27",$656.14,"12,871,475 BTC",0.18%,0.18%,2.33%
58,2014-06-15,Bitcoin,BTC,"$7,649,365,737.79",$592.94,"12,900,800 BTC",1.50%,1.50%,-9.52%
59,2014-06-22,Bitcoin,BTC,"$7,788,611,993.35",$602.27,"12,932,025 BTC",0.05%,0.05%,3.28%
60,2014-06-29,Bitcoin,BTC,"$7,813,285,930.13",$602.72,"12,963,475 BTC",-0.03%,-0.03%,0.35%
61,2014-07-06,Bitcoin,BTC,"$8,258,182,479.31",$635.81,"12,988,500 BTC",0.18%,0.18%,5.87%
62,2014-07-13,Bitcoin,BTC,"$8,154,263,415.56",$626.50,"13,015,650 BTC",-0.02%,-0.02%,-1.36%
63,2014-07-20,Bitcoin,BTC,"$8,137,811,957.88",$623.90,"13,043,450 BTC",0.08%,0.08%,-0.18%
64,2014-07-27,Bitcoin,BTC,"$7,761,284,408.63",$593.85,"13,069,400 BTC",-0.10%,-0.10%,-4.65%
65,2014-08-03,Bitcoin,BTC,"$7,683,526,402.30",$586.67,"13,096,925 BTC",-0.12%,-0.12%,-0.89%
66,2014-08-10,Bitcoin,BTC,"$7,757,400,138.78",$591.06,"13,124,525 BTC",0.19%,0.19%,0.78%
67,2014-08-17,Bitcoin,BTC,"$6,468,997,837.38",$491.80,"13,153,850 BTC",0.75%,0.75%,-16.67%
68,2014-08-24,Bitcoin,BTC,"$6,700,956,771.09",$508.29,"13,183,450 BTC",-0.04%,-0.04%,3.65%
69,2014-08-31,Bitcoin,BTC,"$6,312,805,192.09",$477.76,"13,213,250 BTC",-0.84%,-0.84%,-5.76%
70,2014-09-07,Bitcoin,BTC,"$6,385,590,810.60",$482.28,"13,240,475 BTC",-0.42%,-0.42%,0.81%
71,2014-09-14,Bitcoin,BTC,"$6,340,774,104.97",$477.89,"13,268,225 BTC",0.15%,0.15%,-0.86%
72,2014-09-21,Bitcoin,BTC,"$5,303,654,307.21",$398.82,"13,298,325 BTC",0.47%,0.47%,-16.52%
73,2014-09-28,Bitcoin,BTC,"$5,025,732,218.61",$377.18,"13,324,450 BTC",-0.02%,-0.02%,-5.79%
74,2014-10-05,Bitcoin,BTC,"$4,279,043,444.72",$320.51,"13,350,725 BTC",2.21%,2.21%,-15.62%
75,2014-10-12,Bitcoin,BTC,"$5,063,686,790.58",$378.55,"13,376,575 BTC",0.32%,0.32%,22.54%
76,2014-10-19,Bitcoin,BTC,"$5,220,786,277.72",$389.55,"13,402,225 BTC",-0.49%,-0.49%,4.48%
77,2014-10-26,Bitcoin,BTC,"$4,763,038,436.19",$354.70,"13,428,200 BTC",0.17%,0.17%,-8.55%
78,2014-11-02,Bitcoin,BTC,"$4,385,292,349.30",$325.89,"13,456,275 BTC",-0.20%,-0.20%,-7.99%
79,2014-11-09,Bitcoin,BTC,"$4,897,967,438.96",$363.26,"13,483,200 BTC",1.04%,1.04%,10.72%
80,2014-11-16,Bitcoin,BTC,"$5,239,697,442.91",$387.88,"13,508,475 BTC",0.02%,0.02%,8.06%
81,2014-11-23,Bitcoin,BTC,"$4,974,536,262.66",$367.57,"13,533,475 BTC",-0.58%,-0.58%,-6.37%
82,2014-11-30,Bitcoin,BTC,"$5,125,963,514.89",$378.05,"13,559,050 BTC",0.17%,0.17%,2.90%
83,2014-12-07,Bitcoin,BTC,"$5,094,941,875.62",$375.09,"13,583,075 BTC",-0.06%,-0.06%,-0.72%
84,2014-12-14,Bitcoin,BTC,"$4,785,248,773.88",$351.63,"13,608,675 BTC",0.25%,0.25%,-6.23%
85,2014-12-21,Bitcoin,BTC,"$4,373,826,071.79",$320.84,"13,632,275 BTC",-0.56%,-0.56%,-8.43%
86,2014-12-28,Bitcoin,BTC,"$4,333,395,591.11",$317.24,"13,659,700 BTC",0.24%,0.24%,-1.68%
87,2015-01-04,Bitcoin,BTC,"$3,616,325,669.88",$264.20,"13,688,075 BTC",0.94%,0.94%,-16.72%
88,2015-01-11,Bitcoin,BTC,"$3,643,311,965.96",$265.66,"13,714,175 BTC",-0.53%,-0.53%,-1.14%
89,2015-01-18,Bitcoin,BTC,"$2,889,852,649.33",$210.34,"13,739,050 BTC",0.13%,0.13%,-21.45%
90,2015-01-25,Bitcoin,BTC,"$3,491,684,706.82",$253.72,"13,762,075 BTC",0.38%,0.38%,19.81%
91,2015-02-01,Bitcoin,BTC,"$3,129,632,209.53",$226.97,"13,788,650 BTC",-0.02%,-0.02%,-13.27%
92,2015-02-08,Bitcoin,BTC,"$3,086,540,934.54",$223.41,"13,815,450 BTC",-0.02%,-0.02%,-1.71%
93,2015-02-15,Bitcoin,BTC,"$3,250,247,204.66",$234.83,"13,841,125 BTC",0.94%,0.94%,5.31%
94,2015-02-22,Bitcoin,BTC,"$3,272,632,781.48",$235.98,"13,868,425 BTC",0.08%,0.08%,1.02%
95,2015-03-01,Bitcoin,BTC,"$3,615,184,871.86",$260.20,"13,893,750 BTC",0.20%,0.20%,10.31%
96,2015-03-08,Bitcoin,BTC,"$3,818,877,841.01",$274.35,"13,919,525 BTC",0.05%,0.05%,7.14%
97,2015-03-15,Bitcoin,BTC,"$3,993,635,126.19",$286.39,"13,944,575 BTC",0.22%,0.22%,4.03%
98,2015-03-22,Bitcoin,BTC,"$3,743,197,248.40",$267.96,"13,969,225 BTC",-0.32%,-0.32%,-6.82%
99,2015-03-29,Bitcoin,BTC,"$3,397,186,865.47",$242.71,"13,996,725 BTC",-0.16%,-0.16%,-9.14%
100,2015-04-05,Bitcoin,BTC,"$3,654,266,205.03",$260.60,"14,022,625 BTC",0.06%,0.06%,6.75%
101,2015-04-12,Bitcoin,BTC,"$3,317,123,015.29",$236.15,"14,046,525 BTC",-0.05%,-0.05%,-8.97%
102,2015-04-19,Bitcoin,BTC,"$3,132,227,160.59",$222.60,"14,071,100 BTC",-0.29%,-0.29%,-5.68%
103,2015-04-26,Bitcoin,BTC,"$3,093,210,381.84",$219.43,"14,096,600 BTC",0.06%,0.06%,-1.87%
104,2015-05-03,Bitcoin,BTC,"$3,394,163,164.37",$240.36,"14,121,275 BTC",0.06%,0.06%,9.71%
105,2015-05-10,Bitcoin,BTC,"$3,399,248,766.08",$240.30,"14,146,075 BTC",-0.25%,-0.25%,-0.12%
106,2015-05-17,Bitcoin,BTC,"$3,356,177,229.79",$236.80,"14,172,925 BTC",-0.04%,-0.04%,-1.52%
107,2015-05-24,Bitcoin,BTC,"$3,420,840,509.76",$240.95,"14,197,150 BTC",-0.13%,-0.13%,1.78%
108,2015-05-31,Bitcoin,BTC,"$3,273,749,732.66",$230.19,"14,221,975 BTC",0.12%,0.12%,-4.48%
109,2015-06-07,Bitcoin,BTC,"$3,175,550,844.62",$222.88,"14,247,725 BTC",-0.23%,-0.23%,-3.51%
110,2015-06-14,Bitcoin,BTC,"$3,333,660,698.61",$233.54,"14,274,275 BTC",0.16%,0.16%,4.49%
111,2015-06-21,Bitcoin,BTC,"$3,488,111,052.52",$243.94,"14,298,800 BTC",-0.09%,-0.09%,4.33%
112,2015-06-28,Bitcoin,BTC,"$3,566,934,170.65",$249.01,"14,324,425 BTC",-0.06%,-0.06%,2.15%
113,2015-07-05,Bitcoin,BTC,"$3,901,991,589.58",$271.91,"14,350,125 BTC",0.49%,0.49%,9.14%
114,2015-07-12,Bitcoin,BTC,"$4,469,121,263.85",$310.87,"14,376,300 BTC",-0.04%,-0.04%,15.22%
115,2015-07-19,Bitcoin,BTC,"$3,940,580,866.01",$273.61,"14,401,975 BTC",0.02%,0.02%,-11.26%
116,2015-07-26,Bitcoin,BTC,"$4,222,885,227.06",$292.69,"14,428,050 BTC",0.01%,0.01%,6.71%
117,2015-08-02,Bitcoin,BTC,"$4,084,836,711.04",$282.61,"14,453,750 BTC",-0.07%,-0.07%,-3.28%
118,2015-08-09,Bitcoin,BTC,"$3,838,132,010.49",$265.08,"14,478,975 BTC",-0.17%,-0.17%,-5.89%
119,2015-08-16,Bitcoin,BTC,"$3,749,498,591.23",$258.51,"14,504,450 BTC",0.01%,0.01%,-2.42%
120,2015-08-23,Bitcoin,BTC,"$3,315,472,110.31",$228.17,"14,530,750 BTC",0.43%,0.43%,-11.77%
121,2015-08-30,Bitcoin,BTC,"$3,330,085,560.27",$228.76,"14,557,050 BTC",0.42%,0.42%,0.79%
122,2015-09-06,Bitcoin,BTC,"$3,497,753,009.18",$239.84,"14,583,675 BTC",-0.34%,-0.34%,5.31%
123,2015-09-13,Bitcoin,BTC,"$3,367,770,894.01",$230.51,"14,609,975 BTC",0.46%,0.46%,-4.06%
124,2015-09-20,Bitcoin,BTC,"$3,383,765,027.60",$231.21,"14,634,900 BTC",-0.09%,-0.09%,0.50%
125,2015-09-27,Bitcoin,BTC,"$3,412,462,072.79",$232.76,"14,661,075 BTC",-0.12%,-0.12%,0.74%
126,2015-10-04,Bitcoin,BTC,"$3,499,388,303.06",$238.26,"14,687,325 BTC",0.03%,0.03%,1.84%
127,2015-10-11,Bitcoin,BTC,"$3,634,688,806.31",$247.05,"14,712,350 BTC",-0.03%,-0.03%,3.66%
128,2015-10-18,Bitcoin,BTC,"$3,856,059,658.96",$261.64,"14,737,875 BTC",-0.18%,-0.18%,6.02%
129,2015-10-25,Bitcoin,BTC,"$4,188,179,590.76",$283.68,"14,763,750 BTC",-1.38%,-1.38%,7.96%
130,2015-11-01,Bitcoin,BTC,"$4,813,284,493.67",$325.43,"14,790,500 BTC",0.05%,0.05%,13.78%
131,2015-11-08,Bitcoin,BTC,"$5,532,076,550.94",$373.37,"14,816,675 BTC",-0.10%,-0.10%,15.41%
132,2015-11-15,Bitcoin,BTC,"$4,752,459,764.48",$320.17,"14,843,750 BTC",-0.03%,-0.03%,-14.43%
133,2015-11-22,Bitcoin,BTC,"$4,826,464,375.03",$324.54,"14,871,900 BTC",0.27%,0.27%,1.26%
134,2015-11-29,Bitcoin,BTC,"$5,531,871,361.82",$371.29,"14,898,900 BTC",0.07%,0.07%,14.86%
135,2015-12-06,Bitcoin,BTC,"$5,803,309,466.63",$388.78,"14,926,850 BTC",-1.82%,-1.82%,4.78%
136,2015-12-13,Bitcoin,BTC,"$6,487,291,790.28",$433.75,"14,956,125 BTC",-0.53%,-0.53%,10.18%
137,2015-12-20,Bitcoin,BTC,"$6,633,993,867.05",$442.69,"14,985,800 BTC",0.13%,0.13%,1.35%
138,2015-12-27,Bitcoin,BTC,"$6,348,303,535.49",$422.82,"15,014,075 BTC",-0.23%,-0.23%,-3.38%
139,2016-01-03,Bitcoin,BTC,"$6,467,437,079.85",$430.01,"15,040,150 BTC",0.32%,0.32%,1.36%
140,2016-01-10,Bitcoin,BTC,"$6,750,434,827.13",$447.99,"15,068,250 BTC",0.41%,0.41%,4.47%
141,2016-01-17,Bitcoin,BTC,"$5,770,476,777.82",$382.30,"15,094,150 BTC",-1.20%,-1.20%,-14.59%
142,2016-01-24,Bitcoin,BTC,"$6,093,789,879.14",$402.97,"15,122,150 BTC",0.06%,0.06%,4.86%
143,2016-01-31,Bitcoin,BTC,"$5,587,251,013.45",$368.77,"15,151,175 BTC",-2.18%,-2.18%,-8.01%
144,2016-02-07,Bitcoin,BTC,"$5,718,025,977.03",$376.62,"15,182,475 BTC",-0.04%,-0.04%,0.67%
145,2016-02-14,Bitcoin,BTC,"$6,194,714,911.47",$407.23,"15,211,825 BTC",0.58%,0.58%,7.91%
146,2016-02-21,Bitcoin,BTC,"$6,686,296,147.82",$438.80,"15,237,750 BTC",-0.10%,-0.10%,8.32%
147,2016-02-28,Bitcoin,BTC,"$6,615,992,342.80",$433.50,"15,261,650 BTC",0.12%,0.12%,-0.68%
148,2016-03-06,Bitcoin,BTC,"$6,232,667,417.05",$407.71,"15,287,125 BTC",-0.49%,-0.49%,-6.32%
149,2016-03-13,Bitcoin,BTC,"$6,340,695,059.34",$414.06,"15,313,300 BTC",-0.01%,-0.01%,1.23%
150,2016-03-20,Bitcoin,BTC,"$6,346,553,665.99",$413.76,"15,338,900 BTC",0.03%,0.03%,-0.21%
151,2016-03-27,Bitcoin,BTC,"$6,557,036,225.33",$426.77,"15,364,500 BTC",0.18%,0.18%,3.40%
152,2016-04-03,Bitcoin,BTC,"$6,477,833,347.26",$420.90,"15,390,275 BTC",-0.07%,-0.07%,-1.35%
153,2016-04-10,Bitcoin,BTC,"$6,499,541,847.79",$421.56,"15,417,675 BTC",-0.01%,-0.01%,0.12%
154,2016-04-17,Bitcoin,BTC,"$6,600,877,700.77",$427.40,"15,444,300 BTC",0.04%,0.04%,1.26%
155,2016-04-24,Bitcoin,BTC,"$7,093,731,097.95",$458.55,"15,469,750 BTC",0.09%,0.09%,7.19%
156,2016-05-01,Bitcoin,BTC,"$7,001,713,695.73",$451.88,"15,494,800 BTC",-0.03%,-0.03%,-1.19%
157,2016-05-08,Bitcoin,BTC,"$7,117,816,226.19",$458.55,"15,522,525 BTC",0.16%,0.16%,1.49%
158,2016-05-15,Bitcoin,BTC,"$7,114,466,369.11",$457.57,"15,548,425 BTC",-0.16%,-0.16%,-0.05%
159,2016-05-22,Bitcoin,BTC,"$6,842,086,072.31",$439.32,"15,574,150 BTC",-0.13%,-0.13%,-4.04%
160,2016-05-29,Bitcoin,BTC,"$8,209,057,786.06",$526.23,"15,599,650 BTC",0.51%,0.51%,19.64%
161,2016-06-05,Bitcoin,BTC,"$8,983,559,297.69",$574.98,"15,624,200 BTC",-0.10%,-0.10%,7.99%
162,2016-06-12,Bitcoin,BTC,"$10,529,617,906.55",$672.78,"15,650,825 BTC",-1.44%,-1.44%,16.58%
163,2016-06-19,Bitcoin,BTC,"$11,974,381,017.76",$763.78,"15,677,775 BTC",-0.05%,-0.05%,13.89%
164,2016-06-26,Bitcoin,BTC,"$9,883,126,979.74",$629.37,"15,703,275 BTC",-0.37%,-0.37%,-17.34%
165,2016-07-03,Bitcoin,BTC,"$10,360,448,690.67",$658.66,"15,729,500 BTC",-0.71%,-0.71%,3.81%
166,2016-07-10,Bitcoin,BTC,"$10,228,999,687.31",$649.36,"15,752,436 BTC",0.17%,0.17%,-2.10%
167,2016-07-17,Bitcoin,BTC,"$10,711,259,364.55",$679.46,"15,764,400 BTC",0.34%,0.34%,4.30%
168,2016-07-24,Bitcoin,BTC,"$10,432,243,931.40",$661.28,"15,775,716 BTC",0.02%,0.02%,-2.71%
169,2016-07-31,Bitcoin,BTC,"$9,861,863,056.63",$624.68,"15,787,044 BTC",-1.07%,-1.07%,-5.49%
170,2016-08-07,Bitcoin,BTC,"$9,364,716,451.72",$592.69,"15,800,352 BTC",-0.02%,-0.02%,-5.39%
171,2016-08-14,Bitcoin,BTC,"$9,020,855,586.13",$570.47,"15,812,928 BTC",0.26%,0.26%,-3.34%
172,2016-08-21,Bitcoin,BTC,"$9,199,366,253.98",$581.31,"15,825,288 BTC",0.10%,0.10%,1.97%
173,2016-08-28,Bitcoin,BTC,"$9,089,310,800.47",$573.91,"15,837,468 BTC",0.08%,0.08%,-1.25%
174,2016-09-04,Bitcoin,BTC,"$9,646,839,252.48",$608.63,"15,849,996 BTC",0.20%,0.20%,5.97%
175,2016-09-11,Bitcoin,BTC,"$9,624,020,831.37",$606.72,"15,862,404 BTC",0.19%,0.19%,-0.09%
176,2016-09-18,Bitcoin,BTC,"$9,682,000,956.98",$609.87,"15,875,424 BTC",0.03%,0.03%,0.21%
177,2016-09-25,Bitcoin,BTC,"$9,546,135,306.26",$600.83,"15,888,348 BTC",0.00%,0.00%,-1.52%
178,2016-10-02,Bitcoin,BTC,"$9,713,776,074.59",$610.89,"15,900,972 BTC",-0.04%,-0.04%,1.69%
179,2016-10-09,Bitcoin,BTC,"$9,815,153,928.90",$616.75,"15,914,268 BTC",-0.02%,-0.02%,0.94%
180,2016-10-16,Bitcoin,BTC,"$10,218,347,119.99",$641.63,"15,925,584 BTC",-0.07%,-0.07%,3.89%
181,2016-10-23,Bitcoin,BTC,"$10,472,102,290.60",$657.07,"15,937,548 BTC",-0.07%,-0.07%,2.42%
182,2016-10-30,Bitcoin,BTC,"$11,194,830,999.86",$701.86,"15,950,148 BTC",0.24%,0.24%,7.00%
183,2016-11-06,Bitcoin,BTC,"$11,357,379,034.24",$711.52,"15,962,100 BTC",0.00%,0.00%,1.36%
184,2016-11-13,Bitcoin,BTC,"$11,215,178,275.85",$702.03,"15,975,336 BTC",0.00%,0.00%,-0.66%
185,2016-11-20,Bitcoin,BTC,"$11,695,084,822.53",$731.03,"15,998,175 BTC",0.11%,0.11%,4.07%
186,2016-11-27,Bitcoin,BTC,"$11,720,644,647.82",$732.03,"16,011,050 BTC",-0.13%,-0.13%,0.37%
187,2016-12-04,Bitcoin,BTC,"$12,400,771,414.96",$773.87,"16,024,312 BTC",0.46%,0.46%,5.28%
188,2016-12-11,Bitcoin,BTC,"$12,344,885,401.29",$769.73,"16,037,925 BTC",0.07%,0.07%,0.05%
